Tenant_id,source_system,client_batch_ref,client_payout_ref,invoice_id,voucher_id,ledger_name,vendor_id,vendor_name,beneficiary_name,beneficiary_account_number,beneficiary_ifsc,beneficiary_vpa,amount,currency,payment_method,rail_hint,payout_purpose,scheduled_execution_at,expected_value_date,bank_account_ref,approval_ref,idempotency_key,remarks,pan_number,mcc_code
TENANT_001,Razorpay,ZORD_BATCH_001,ZORD_PAY_500000,INV-10000,VOUCH-10000,Operating_Ledger,VEND-5000,Vikram Kumar,Vikram Kumar,1.26528E+11,ICIC0536795,,3704.384,INR,BANK_TRANSFER,IMPS,refund,2026-06-15T10:00:00Z,21-05-2026,ACC55knkn5000,APP-2DC26437,2056d598-07b7-4476-890a-cd9db5722710,Zord compliant payout,RPUTB4319E,8863
TENANT_001,Razorpay,ZORD_BATCH_001,ZORD_PAY_500001,INV-10001,VOUCH-10001,Operating_Ledger,VEND-5001,Rahul Kumar,Rahul Kumar,7.10467E+11,BARB0711073,,3925.714,INR,BANK_TRANSFER,IMPS,cashback,2026-06-15T10:00:00Z,21-05-2026,ACC55knkn5000,APP-3D331861,44643c44-521b-4e91-9e6a-30d36693d4ce,Zord compliant payout,WJGIA6530H,1928
TENANT_001,Razorpay,ZORD_BATCH_001,ZORD_PAY_500002,INV-10002,VOUCH-10002,Operating_Ledger,VEND-5002,Amit Mehra,Amit Mehra,7.69721E+11,BARB0263865,,1083.399,INR,BANK_TRANSFER,IMPS,refund,2026-06-15T10:00:00Z,21-05-2026,ACC55knkn5000,APP-A71D856B,e26a9b5a-ed8a-4321-ba7a-ff6d6d1d6957,Zord compliant payout,FUASR6504P,5035
TENANT_001,Razorpay,ZORD_BATCH_001,ZORD_PAY_500003,INV-10003,VOUCH-10003,Operating_Ledger,VEND-5003,Priya Patel,Priya Patel,,,priya.patel66@okaxis,2541.257,INR,UPI,UPI,payout,2026-06-15T10:00:00Z,21-05-2026,ACC55knkn5000,APP-C8D42076,cd571053-1974-4df9-b470-b694b36de97c,Zord compliant payout,ZNPYR3278N,2855
TENANT_001,Razorpay,ZORD_BATCH_001,ZORD_PAY_500004,INV-10004,VOUCH-10004,Operating_Ledger,VEND-5004,Rohan Reddy,Rohan Reddy,,,rohan.reddy18@okaxis,1252.316,INR,UPI,UPI,refund,2026-06-15T10:00:00Z,21-05-2026,ACC55knkn5000,APP-395160CB,bf90702c-fe7f-4d6c-b769-110116fc87c0,Zord compliant payout,URFPT2837K,9521
TENANT_001,Razorpay,ZORD_BATCH_001,ZORD_PAY_500005,INV-10005,VOUCH-10005,Operating_Ledger,VEND-5005,Deepak Sharma,Deepak Sharma,,,deepak.sharma98@okaxis,4917.578,INR,UPI,UPI,refund,2026-06-15T10:00:00Z,21-05-2026,ACC55knkn5000,APP-623396D3,c1af6d30-1ec7-488d-a855-6f88262eb60a,Zord compliant payout,KKTHF6775D,6562
TENANT_001,Razorpay,ZORD_BATCH_001,ZORD_PAY_500006,INV-10006,VOUCH-10006,Operating_Ledger,VEND-5006,Sneha Gupta,Sneha Gupta,27711647770,KKBK0631523,,1753.859,INR,BANK_TRANSFER,IMPS,payout,2026-06-15T10:00:00Z,21-05-2026,ACC55knkn5000,APP-770E016A,98dd5266-9abf-4a64-a2a8-0c42db22925d,Zord compliant payout,RHZMH8769F,3651
TENANT_001,Razorpay,ZORD_BATCH_001,ZORD_PAY_500007,INV-10007,VOUCH-10007,Operating_Ledger,VEND-5007,Anjali Reddy,Anjali Reddy,5.75631E+11,HDFC0334911,,1538.694,INR,BANK_TRANSFER,IMPS,cashback,2026-06-15T10:00:00Z,21-05-2026,ACC55knkn5000,APP-EEE9EF78,fd4d5678-b32d-453c-982e-df6d208d119a,Zord compliant payout,TULHA4718S,5380
TENANT_001,Razorpay,ZORD_BATCH_001,ZORD_PAY_500008,INV-10008,VOUCH-10008,Operating_Ledger,VEND-5008,Rahul Patel,Rahul Patel,,,rahul.patel75@okaxis,3852.192,INR,UPI,UPI,payout,2026-06-15T10:00:00Z,21-05-2026,ACC55knkn5000,APP-17A5AF32,88d63996-dfac-438b-b6cf-8165552e00e0,Zord compliant payout,GNCBG3565A,2319
TENANT_001,Razorpay,ZORD_BATCH_001,ZORD_PAY_500009,INV-10009,VOUCH-10009,Operating_Ledger,VEND-5009,Amit Singh,Amit Singh,,,amit.singh91@okaxis,4747.031,INR,UPI,UPI,cashback,2026-06-15T10:00:00Z,21-05-2026,ACC55knkn5000,APP-E3DBB681,fa49e1a3-1924-4de5-b0c4-2323121f0b22,Zord compliant payout,PSGGC6208E,1384
